FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
103847,53659,2886,816,9345,1506,115681,73403,2922,791,7618,1542,60,184
1838,3701,1482,846,9294,0,2902,4985,1550,912,9075,449,46,185
414662,70806,175695,85407,709779,1831,428319,96359,166690,78903,660348,8738,110,185
1922,2386,342,86,1751,542,2877,8423,414,148,3418,771,31,186
0,147,247,30,0,845,35,2208,479,26,922,905,18,186
130,0,559,286,780,198,710,974,627,356,1718,424,35,187
16303,6449,1248,403,3354,0,19481,9286,1279,443,4426,414,43,187
9989,10394,885,421,10569,661,12552,16794,1037,414,13384,864,37,187
3035,1319,436,235,2482,146,4629,4197,481,332,2919,85,31,187
0,0,222,31,0,804,0,2951,442,12,0,2079,17,189
858,1420,312,93,0,580,2413,4305,418,162,0,1175,26,189
160686,32331,5867,1723,13066,1231,178960,44697,5538,1735,11139,2098,71,190
54,92,216,18,0,369,582,1189,422,9,0,315,17,190
10688,6240,782,437,3959,897,13951,8430,792,359,3778,920,47,190
339733,110762,33512,11493,41600,1064,327448,136300,30362,10579,39062,1816,87,190
82919,10801,2024,705,1424,1024,82870,17146,1923,630,1881,1554,56,190
894,1035,188,45,1010,419,3206,4760,360,150,2027,487,17,191
38668,20954,1066,434,4168,1264,50715,31271,1256,480,5243,1195,41,192
70399,36715,1335,574,4949,916,79522,51621,1296,432,4323,1625,54,192
146425,27129,8589,2625,15239,646,163007,38338,7988,2509,14202,2356,66,192
132338,79585,731,187,2431,730,146299,110187,670,158,3655,1666,52,192
10718,6236,642,172,6317,563,14723,12566,742,218,8582,658,38,192
46682,15735,2250,908,8367,1272,46106,20919,2118,851,7657,2008,56,193
2,0,225,13,0,0,216,2974,390,102,1013,160,19,193
5284,5974,380,124,1746,0,8072,11093,479,201,3492,615,27,193
373573,12596,19249,6070,33447,10,382187,15102,17117,5478,34095,1246,83,193
4724,5990,498,225,1456,208,7398,11240,728,265,2440,782,27,194
0,0,199,0,0,1080,21,1329,386,22,0,1257,17,194
2163,2038,387,179,604,576,4329,6305,618,206,1235,949,23,195
12265,8132,990,363,2566,619,14245,14658,1253,449,2628,592,36,195
4857,1608,401,101,369,654,6761,3643,456,111,1599,542,33,195
61275,14254,3127,1131,10207,1888,71003,21820,3223,1173,9517,2333,51,195
2461,3748,196,95,1223,51,5573,14027,360,174,3601,296,17,195
87176,15501,2004,799,2769,106,96788,23718,2163,816,5186,1029,53,196
111624,9480,32978,19138,201482,0,110685,10569,29583,17531,186044,4198,88,196
101179,2182,898,266,1114,858,119490,9486,817,302,3132,1041,41,197
25579,4973,2968,864,1115,1052,28682,6409,2899,816,3162,1868,66,197
0,257,226,12,191,755,21,3211,369,0,1664,1070,20,197
111157,17377,17005,11897,244593,6278,117689,23675,15930,11465,240470,11588,76,198
89406,33924,2315,648,3488,529,104684,45310,2222,503,3531,749,52,198
67,598,226,75,0,477,308,3998,414,100,0,368,18,198
3802,3428,8861,3669,16685,679,5546,7045,8172,3478,17584,1058,69,198
3608,1702,210,95,428,10,8711,7997,397,151,1197,314,17,199
103823,56559,4856,1805,16600,860,110411,76753,5039,1577,15362,802,62,199
42,262,218,43,66,42,311,2996,422,52,1243,422,17,199
1335,710,260,18,682,526,2870,2960,504,97,2021,527,18,199
8773,6255,899,316,4479,68,10135,10197,750,295,3883,1055,43,200
26973,8604,476,257,27,753,35242,15535,671,331,943,805,29,200
5624,5825,321,178,2100,862,8311,14255,391,205,2627,1052,27,201
51024,13134,1617,776,8313,0,52591,22051,1574,800,6925,829,49,201
31979,12421,740,322,3931,79,39169,23095,877,349,5222,1172,34,201
733,1538,246,56,972,628,1804,4989,386,94,3308,1410,21,201
23022,6858,547,209,6498,0,33879,14639,726,267,7599,1719,30,202
6725,7238,334,69,933,347,10916,14540,470,90,2092,497,25,202
159,477,213,66,46,871,421,3202,364,77,2576,1158,19,202
0,0,210,12,18,437,0,551,350,49,360,403,19,202
4250,4021,443,196,1089,1419,5780,7035,557,257,1691,1838,31,202
