FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
36056,7591,8648,3855,57531,0,39928,11304,8216,4042,57523,785,79,321
10300,8609,11494,5737,49501,2723,10162,14920,10842,5472,47116,2506,70,322
1328,1734,227,113,748,924,2468,4155,396,133,1971,1170,19,323
3077,1190,234,93,93,488,6892,4940,382,156,867,267,20,323
4307,4045,507,166,1855,178,5975,8042,565,244,2616,164,37,323
164,351,193,65,0,349,1196,4466,352,82,0,284,17,324
166462,58229,985,330,1805,753,184911,84724,1076,306,3348,1486,47,324
8941,6562,651,286,4248,120,12257,12913,833,264,4780,478,35,325
11505,6851,666,295,2140,1507,15442,11760,758,310,6998,1847,39,325
43895,11795,1882,612,4089,1230,49558,19434,1759,612,4871,1748,56,326
5108,2049,381,84,2944,649,7216,5224,392,107,3266,624,35,326
56819,41692,1224,356,5390,1181,63776,61619,1037,279,4621,665,50,326
11329,12740,428,181,884,249,16236,21967,537,203,1254,588,32,327
0,223,202,0,0,582,0,1159,375,0,462,999,17,327
1896,1654,288,146,604,443,3062,4076,467,254,1241,918,22,327
32,0,205,48,486,373,460,2151,396,82,4137,703,17,328
1394,8042,246,57,33,0,3538,20180,458,145,728,732,18,328
90258,9267,43503,24535,257178,5537,97163,15436,41688,22455,246366,7558,86,329
3310,3149,512,183,1580,573,4472,7759,621,171,2378,951,33,329
420079,1161169,14577,4097,35513,1992,409959,1505224,12718,3554,30846,2071,81,329
66,0,211,64,0,662,331,2560,402,82,537,825,17,329
4482,3734,609,205,1287,38,5073,8419,570,217,1420,1666,48,331
5056,4539,3040,1661,13586,689,7032,8595,2978,1716,12278,733,63,332
88,148,188,12,121,414,312,4662,351,15,1109,921,17,333
2418,2447,432,190,1980,261,3327,6507,452,278,3436,637,33,333
8772,6848,611,279,1427,969,10070,13027,788,296,3807,918,37,334
26190,9516,1461,219,1628,633,22150,10790,1282,232,2442,1114,52,334
4600,4451,549,245,1660,0,6698,11477,863,265,3672,0,27,334
23054,3843,21834,11769,112317,3853,24765,6125,20496,11237,101612,4994,87,334
11711,9985,3051,1028,8900,1576,13919,14399,2919,1041,9984,1090,54,334
12259,4953,451,233,3488,662,16353,9820,466,279,3694,574,36,334
26372,10227,2188,715,3240,1120,29106,16324,2128,768,3855,1277,53,336
5290,1338,317,72,0,0,9135,6908,410,56,348,15,25,337
150607,6675,959,469,1258,1040,171686,11778,928,378,1762,997,44,339
9282,7606,639,337,1887,569,11355,13470,818,452,2015,1072,33,339
44789,11911,1702,697,5278,0,52410,17135,1663,483,7370,489,52,339
24001,14277,3771,1607,25826,0,30562,19084,3445,1522,24090,581,61,340
11596,2516,12117,3599,6520,772,12821,4357,11236,3332,4050,1438,82,340
169,0,228,39,0,0,468,2038,362,68,0,16,20,340
13585,7551,811,330,2355,530,16971,13800,848,356,3169,1195,42,340
21154,30742,671,211,4471,1090,26541,51205,780,242,5303,1944,38,340
0,1152,239,45,0,508,1032,4813,354,60,67,788,23,341
1815,2868,459,118,470,994,2937,6721,484,93,2349,1050,36,341
872,1961,204,40,0,0,2181,6616,371,60,317,0,18,341
7446,8482,751,366,4443,1057,8980,13513,770,326,5085,872,52,342
0,311,205,77,540,155,274,2015,388,120,1572,742,17,342
3279,4412,383,58,423,434,4795,7824,470,79,1470,734,30,342
7567,11942,619,192,3857,911,8801,18588,571,224,6481,1364,39,342
6653,2453,4196,1747,14574,889,7373,6556,4036,1603,11616,1166,64,343
0,669,218,0,856,425,224,2721,395,0,1704,384,18,343
11429,6886,996,359,4747,1209,13633,11695,1169,315,5130,989,41,343
2432,816,226,102,1093,377,4845,5902,401,153,2206,297,19,344
12009,35387,357,72,1077,0,15765,59036,406,100,2553,775,31,344
5616,2104,4289,1218,2204,899,7515,3415,4264,1155,3926,1094,63,344
3584,1357,350,153,1404,917,4923,3906,387,150,4073,1505,34,344
6632,13313,298,90,1918,891,12232,32940,535,91,3769,1295,20,345
1092,1105,209,7,637,646,2568,6113,362,66,1702,1068,18,345
29924,33942,904,273,3492,137,37544,48310,822,226,3374,192,45,345
306653,27558,4784,1623,3489,1671,339589,37972,4727,1514,3425,1582,64,347
33568,11058,2009,809,7545,1291,39886,17483,1783,728,7694,2487,58,348
17312,8679,1157,549,4435,430,19941,15315,1113,711,6411,1565,43,349
2022,911,292,122,500,0,3659,4329,375,151,890,0,26,349
1636,1099,269,92,1096,244,3349,3990,499,121,1683,497,19,349
0,305,631,225,2304,855,616,4384,618,273,2746,957,35,349
131,0,210,28,848,452,650,1426,413,21,2325,1026,17,349
16078,4493,3732,1962,28600,258,15173,6882,3187,1919,25809,689,61,350
115344,11577,856,186,1433,932,123644,17247,890,166,3944,1587,41,350
13779,7317,766,340,1997,1534,15043,13146,715,408,2787,1793,40,350
12364,5061,652,469,10552,1497,15287,10331,887,508,10149,2275,32,351
12207,17564,292,12,378,1285,20242,41002,437,67,1447,2113,23,351
3193,3707,420,145,1187,1008,5991,11667,800,172,2824,1278,20,352
1184,410,234,89,2021,397,3568,1493,445,176,7936,421,18,354
1586,1507,238,109,728,888,3381,6351,394,200,2885,1010,20,354
8873,5319,13633,8434,87502,252,9994,8931,13334,7897,78540,1914,78,354
1168,955,227,58,1084,47,2816,3814,432,70,2783,511,18,355
18949,11333,699,152,2321,418,23900,18529,793,224,1970,1244,39,355
143,122,201,39,0,724,729,3301,357,62,1178,1544,18,355
1881,1333,361,207,998,0,4325,4890,476,255,1181,0,27,355
95,81,208,15,808,701,720,1586,406,11,1985,1174,17,357
9559,8575,1187,375,1696,0,11191,14023,1018,466,2302,861,46,357
5371,4253,365,165,1632,1076,7679,10897,372,143,2308,1535,31,357
4746,5533,654,314,2530,1833,6145,8409,680,232,3527,1779,52,358
80069,42416,848,257,0,430,84124,57989,803,241,983,1164,50,358
148341,120373,3924,1528,9989,711,152224,156710,3523,1555,9398,841,60,358
46109,12762,2132,782,8763,1139,51922,18611,2165,892,8370,2324,58,359
48720,20735,979,376,3705,66,62559,34608,816,441,4287,619,42,359
447,1862,214,109,1544,145,1312,5610,423,281,3755,320,17,359
135935,90796,3069,925,11238,2569,158120,125895,3333,990,9803,3120,59,360
4122,3793,337,155,1831,1229,8445,10956,544,175,2829,2087,23,361
2633,2458,285,129,2240,565,4770,7359,457,181,4319,1326,22,361
1831,1160,326,134,685,1614,2729,3720,447,143,1583,2244,28,363
14721,34097,513,216,1327,528,19972,50323,506,296,2461,870,37,363
8402,6649,644,304,3379,0,10521,9170,594,307,4908,332,43,364
1068,921,266,64,2475,319,2644,5748,389,95,5862,1350,23,364
109,98,210,19,726,553,510,2727,377,70,1585,904,18,366
41573,15648,1853,758,6292,718,44954,21211,1916,586,4875,1458,61,366
283598,87159,9677,2315,23984,43,313722,107801,8668,2080,19884,531,73,366
1414,1603,230,41,392,106,2831,4027,374,55,1049,422,21,367
220869,53713,6984,2269,16534,1109,241041,72882,7079,2023,12905,1009,69,367
4461,5559,403,184,2093,0,5963,11051,467,272,2692,349,34,367
11502,3837,280,138,1350,477,19758,9376,440,295,2375,1278,23,368
19544,8031,1212,439,4240,147,21374,14287,1142,425,4882,862,49,368
14553,8366,599,154,819,540,20444,14187,616,145,1945,1098,38,368
2356,7573,255,93,0,438,5238,19675,396,103,840,369,22,368
8209,3614,807,278,4381,1412,11349,8013,979,263,6138,1646,37,369
0,0,229,0,1168,0,0,3077,451,131,3008,138,17,369
239738,65736,7030,1825,13426,1515,264875,87434,6900,1712,12654,1475,66,369
524798,60782,80015,29067,81632,7379,544341,66660,76212,26803,77690,9261,103,370
10713,9406,468,170,1893,563,16090,19472,631,228,2477,939,29,371
15973,13341,436,154,1246,0,22746,22785,417,134,3483,315,37,371
3394,581,209,71,160,1,6740,3173,368,96,991,247,18,372
465,213,231,62,21,681,1821,3978,399,96,2236,857,19,372
298858,28814,114638,92381,1638823,0,300924,36901,108731,84565,1480299,16278,109,373
0,308,247,104,2942,0,64,3372,390,121,5906,357,21,373
207,0,194,65,3,0,559,3068,360,93,359,142,17,373
10689,1203,314,50,980,0,17434,2720,487,74,2370,28,23,374
16710,21009,6925,4795,43109,1271,15996,25531,6375,4388,36995,1869,71,375
27612,6417,1115,399,5168,15,27970,9552,1255,384,5530,382,54,375
77828,19577,2133,821,5307,138,90391,25229,2296,876,5501,610,58,375
8648,18790,412,155,2412,540,11688,33254,410,124,2920,934,38,375
1339,3196,842,430,2696,1213,2428,6888,1182,411,3841,1375,31,375
60631,37332,4028,1532,31826,957,61403,45503,3731,1454,33305,1368,65,376
3724,1772,222,155,472,116,8119,5346,393,220,1909,196,19,376
36808,12919,1995,802,4459,75,39471,19931,1896,708,4284,767,50,376
0,127,208,42,388,0,60,2237,373,69,1620,0,18,376
7777,1918,7798,3086,25084,485,8642,2928,7469,3175,24893,1483,72,376
12510,13515,12129,6774,45812,2247,16084,16734,10791,6177,42232,2027,83,376
0,0,219,24,524,151,299,277,380,14,1906,778,19,377
36546,19317,1109,358,5314,969,45736,28342,1316,445,4933,1093,41,377
5,0,196,9,103,215,209,2014,350,0,1134,78,18,377
4088,3062,620,201,595,587,5527,4849,557,250,2950,790,39,378
15911,5391,1005,249,3131,0,19345,11925,1162,363,4018,812,44,378
26954,13827,876,285,2310,348,32740,22758,835,368,4756,539,38,378
683,1943,200,66,1045,975,2267,8600,350,145,3141,1396,18,378
850,2098,217,10,1295,221,1675,7657,370,121,1944,176,19,378
2640,1557,492,126,2020,1065,3802,4406,477,157,3195,811,36,378
101021,21006,80894,24590,49232,2939,108770,27802,74546,22355,44391,4609,107,379
426164,73480,863,1365,59929,4636,487905,105874,792,1364,60511,4146,48,379
28552,12965,13403,5903,50535,3213,31156,17989,13197,5467,48923,4422,74,380
1820,1485,340,94,0,335,3261,3931,538,106,2736,615,23,380
96618,26506,3572,1354,13352,1977,98281,34884,2898,1294,11653,3025,71,380
18688,6924,1635,542,3395,802,23338,9839,1639,562,4513,1038,45,380
74,0,209,34,926,331,283,184,370,40,2328,430,18,380
7094,5916,774,314,8654,165,7118,11787,707,245,9651,921,53,381
1553,662,403,124,948,174,2406,3513,495,168,2348,279,31,382
72474,27048,2095,737,5979,0,76457,37313,1932,666,6626,950,60,382
8056,2126,11261,7814,82336,0,7734,4727,10213,7096,72715,809,85,382
98809,112846,6396,2624,56560,5227,115770,154933,6672,2776,54700,4590,68,382
11629,2965,2851,1323,15204,1130,11835,6118,2640,1437,14135,1965,54,382
3410,7973,272,140,1782,150,5651,16560,393,197,2741,626,23,383
2959,2393,429,148,2066,479,5011,4712,539,161,3575,1121,29,384
11072,7944,1025,260,1944,0,13875,10060,895,347,1959,614,58,384
6302,29209,434,234,2368,907,9732,52590,519,284,4278,1607,31,384
14040,7240,559,307,5608,788,16445,12361,465,345,6053,922,45,384
228673,110633,7672,1859,14840,290,243927,147530,7534,1778,14908,716,74,385
106322,31393,1815,464,679,11,121577,48199,1623,421,3779,1164,46,387
11712,14746,557,241,658,0,14840,25913,539,201,1110,0,38,387
26204,12175,1159,635,5314,714,29786,19069,1072,646,5497,940,48,387
7107,5434,382,137,3810,0,10659,10916,404,156,5095,190,31,387
0,90,196,55,1375,753,15,1628,378,45,2964,1345,17,387
0,130,212,111,307,0,0,3932,418,206,867,267,17,388
18298,5467,11567,5935,50614,423,20175,7107,11496,6103,50592,3008,69,388
0,30,229,49,500,143,151,547,468,71,2303,1058,17,388
5626,5954,791,286,2649,664,7132,11594,706,342,3077,1043,49,388
14,0,202,38,0,347,320,390,351,59,816,452,18,388
25010,7636,538,278,4775,1386,35996,12731,603,348,6776,1511,35,389
54469,34827,496,207,1949,971,71167,60882,542,221,3957,1700,32,390
2530,1569,347,86,418,776,3962,6102,455,79,1634,821,27,390
32720,35710,994,234,5012,1547,39111,51270,1076,257,5637,1345,55,390
662743,64962,65924,20999,71541,5916,642413,83362,59971,19067,63818,4814,106,390
71477,16823,4399,1560,8623,2340,79568,24833,4242,1461,6778,1548,59,391
14005,6405,632,268,1516,367,17372,12024,671,332,3683,735,35,391
17535,5821,5759,2896,36645,0,19531,8708,5746,2708,39687,1190,72,391
50790,16057,2069,771,5843,1131,54677,26879,2200,842,8709,864,54,391
0,422,197,69,0,747,0,1722,377,90,100,1344,17,391
8415,1864,4795,1379,2765,40,9146,6115,4835,1479,3627,665,60,392
3057,2499,316,98,0,0,5637,4495,454,109,0,237,25,392
53843,9826,1221,310,2850,810,64673,14248,1154,367,3463,2452,50,393
0,195,214,60,665,95,0,1621,396,85,1259,542,18,393
5946,5609,473,148,2165,5,8341,9397,427,173,2444,342,37,393
119680,27635,529,148,1388,311,137543,40833,595,210,2940,455,41,393
4495,852,295,151,624,407,7254,4063,375,196,3457,734,26,393
100039,41452,2220,800,10606,252,111124,59558,2210,707,10107,466,55,393
11017,5355,675,301,3284,1239,14586,12622,817,314,4433,1193,35,393
510,0,229,65,637,512,2358,2619,428,85,1682,362,18,395
1713,3312,321,66,2645,755,4262,8798,430,143,5025,1335,25,395
203603,59151,7758,2516,20167,198,207978,75992,7094,2337,16130,781,77,396
76366,15439,45123,21135,65348,0,69597,19748,41330,18914,57037,2524,98,396
13155,23008,1670,561,11068,821,19989,34928,1621,398,8733,497,49,397
443,393,203,4,0,353,1861,1349,387,7,1090,865,17,397
6258,12250,289,54,621,504,10084,26304,424,87,972,1046,23,398
6035,5161,600,267,4998,679,7308,11662,634,252,6201,1376,37,398
0,245,235,20,1832,0,726,1045,388,10,2684,215,20,399
5802,997,866,241,2794,1031,7799,4790,1060,375,4120,1858,35,399
7056,5294,481,109,1930,316,9079,13228,513,125,4412,715,33,399
3195,2569,686,63,2951,456,2912,5661,578,181,3154,1058,48,399
24024,8034,1448,425,4124,1037,27940,12793,1287,299,3743,1339,57,400
27191,3370,743,420,3933,773,30122,8871,804,388,4140,1852,37,401
9279,6547,829,361,1892,1189,12534,10574,701,323,2571,1815,43,402
696,1601,203,94,1561,145,2437,6805,365,128,3230,1527,18,402
0,112,238,59,0,871,432,1851,486,70,529,916,17,402
17666,7930,1025,378,3815,314,22353,14570,1012,360,4402,1196,41,402
62273,11863,1393,364,727,491,69751,16530,1333,250,1198,1110,57,402
79686,20112,31646,10145,27237,0,79733,27497,30816,10110,24891,961,93,402
0,69,209,62,0,561,2100,4485,380,101,1045,440,18,403
0,301,218,25,801,219,148,4800,368,82,2613,278,19,403
735,1362,205,83,657,608,2428,5646,394,116,1650,978,17,403
16984,26398,2468,846,8603,1425,21640,33082,2388,705,9417,2010,63,404
69192,50094,2103,574,5718,0,88453,73781,2168,588,4237,1099,50,404
25808,11810,562,175,445,990,34661,17945,588,185,1305,1356,35,404
9233,5134,324,136,1053,1016,15602,11202,397,162,2700,1062,29,404
27369,12571,1603,440,4669,2421,30723,17249,1628,430,5146,2796,67,405
13096,9512,1046,334,2044,0,13639,11709,989,250,2617,758,60,406
144974,46733,901,368,1555,341,179577,75088,1016,354,2617,917,38,406
1061,0,200,23,187,487,2811,1208,385,44,1944,555,17,407
1482,781,246,36,3,438,2592,3627,390,63,1109,268,21,408
8242,11509,17474,9249,63745,1135,11580,14307,15441,8213,52904,3122,83,408
500,80,214,68,1577,1330,1925,2072,426,114,4184,2123,17,409
6703,6879,446,181,1255,749,9338,16267,672,268,2142,1126,26,409
431,825,212,18,0,0,1754,3291,418,9,0,653,17,410
0,0,221,22,0,491,271,3429,441,13,1090,357,17,410
2311,1771,199,100,1579,715,5739,5458,351,120,3076,741,18,411
198207,44724,126466,60402,239685,1139,200255,59021,117805,55883,215409,6939,109,412
8663,2579,1195,470,10539,987,12710,3824,1258,575,11370,1145,43,412
8196,3284,393,111,1410,838,12386,8744,548,144,2158,998,27,412
3636,5351,252,10,1461,105,6752,15699,410,0,2463,1016,21,413
906,624,295,101,2361,241,2412,2541,479,184,3739,779,22,413
6312,38918,397,56,551,237,9340,64770,391,98,1603,521,32,413
478,560,200,12,1180,392,2344,4344,382,109,2385,804,17,413
15918,6832,775,310,2983,1457,18283,12976,764,415,3480,1120,41,413
0,0,210,24,576,940,160,1208,410,109,1375,1111,17,414
12063,2513,382,193,4698,817,17608,6920,508,270,6425,811,29,414
44893,8619,1024,325,3433,1146,56035,12829,1251,374,5917,2212,38,416
2643,1644,246,109,831,582,5969,5784,438,166,1631,487,19,416
975,1723,216,99,0,530,2428,4280,377,128,475,320,19,417
2583,1326,1556,808,3032,1660,4302,2970,1558,748,3996,1222,43,417
31239,17956,8710,2612,3932,483,33734,23571,7869,2266,3096,1429,84,417
491,11,259,39,0,711,1292,3765,392,57,236,563,22,418
18232,10425,1887,683,8428,524,20356,17765,1701,681,6992,968,59,421
165649,47686,3609,1170,5450,640,179017,63422,3708,1210,4281,1218,64,421
3723,4453,264,134,2921,1201,7101,9382,367,184,4530,1402,23,421
4449,3837,564,213,2460,982,6768,8872,940,223,4455,1599,26,421
1288,619,196,37,1220,669,2980,1746,360,56,2934,933,17,422
110153,39175,5514,1986,15155,2149,120088,51511,5405,1793,12061,1770,69,422
274043,142733,5848,2085,13371,2890,305483,201194,5844,2019,10734,2199,67,423
305,165,197,37,406,1233,1345,2622,371,37,1644,1653,17,423
9480,5115,764,213,2516,0,11981,10235,800,291,3534,0,43,424
574,445,186,32,0,257,3226,4623,352,25,486,134,17,424
6445,6598,620,160,3793,1262,6710,10665,559,245,3228,1264,48,425
703,2398,196,38,1263,54,1703,10266,371,40,3987,363,17,425
2717,3513,306,135,1017,187,4638,9915,437,185,1856,862,24,426
89113,17018,62889,19134,27323,584,97900,21794,62147,18250,27271,1018,103,426
8311,2751,346,48,535,587,14188,6417,400,40,3185,398,29,427
12436,5339,582,284,2588,1169,15618,9198,705,321,3770,1722,35,427
3871,4671,385,171,5161,988,7057,10966,416,226,7078,1083,32,427
35296,14042,1788,524,4877,1353,39226,19362,1947,413,5743,1097,55,427
51531,21154,1722,618,7338,679,54963,30208,1814,555,9182,1927,51,427
7680,1584,291,54,647,1025,13501,5726,519,56,1246,1238,20,428
7725,17151,343,107,960,1513,10254,27646,384,143,1827,1178,32,429
4608,12171,351,91,1429,753,7117,22974,519,191,2777,1241,26,429
29821,101493,705,214,1604,559,36424,168628,803,286,3521,1014,37,429
102715,24868,5833,2245,15186,46,111629,32472,5472,2203,12281,2889,65,429
971,5914,436,60,1684,437,2333,10705,454,147,2327,600,34,431
7376,2428,311,62,476,0,11231,6836,379,127,1524,183,27,431
2048,1312,228,140,1484,130,5344,5877,419,222,2676,140,18,432
6670,5090,420,95,235,64,8687,8940,371,109,811,1227,36,432
47211,64746,2328,1175,27678,293,47673,86469,2115,1106,28958,1007,59,432
35283,7780,6052,2870,46066,2170,41964,12069,6089,2956,45303,1514,71,433
29861,12341,9336,4753,67892,1740,35769,17197,8819,4451,67779,2520,72,433
9439,3637,16154,7066,23428,833,7373,4816,16106,7063,22282,1977,81,433
20837,51524,765,201,2635,714,24894,81601,919,211,3874,988,37,433
5360,2817,239,94,1534,734,13616,9458,488,143,3341,713,17,433
1960,2652,317,50,825,36,3399,9335,394,58,2130,235,27,433
524,226,205,57,360,507,2307,3751,401,64,1716,1085,17,434
2468,1483,260,119,443,0,4628,4507,399,146,1184,65,22,434
2561,808,257,76,938,241,6155,2455,418,140,2346,198,21,434
36138,3139,952,383,3061,532,46615,5870,990,355,4994,925,42,435
18255,16107,589,290,2468,880,24779,25474,504,296,3268,817,40,435
48652,16896,1815,779,17449,1402,58451,26388,1890,911,17058,1696,45,435
24361,8647,987,193,811,0,26891,15011,913,147,2369,630,57,437
30641,27685,908,213,532,563,42161,42381,1049,205,2581,731,39,437
95593,43277,3165,976,7802,26,113753,65600,3152,950,8305,788,56,438
662439,210673,77674,29925,89503,430,677905,271391,74534,27161,87506,1945,103,438
32287,14100,1560,606,4734,924,31453,20242,1337,553,5537,1411,53,438
7093,6683,489,240,2678,501,10454,13656,661,266,2875,329,29,440
126581,90815,864,311,1846,0,136479,133193,860,329,2305,911,46,441
4460,3927,343,175,2154,821,6477,8052,420,233,4829,973,28,441
126962,19927,1916,837,3421,936,135236,29579,1981,824,6660,1550,50,442
11057,7461,884,275,2828,644,12548,13745,858,235,3760,1110,40,443
64263,28375,7361,3190,76541,628,69713,38468,7347,2883,73616,958,70,443
204979,102841,613,276,4594,1693,245414,160894,639,343,4563,2082,39,443
0,179,227,0,213,106,0,2280,378,0,1870,254,20,444
2761,2529,313,136,2713,195,4595,9617,476,229,4020,410,23,444
42429,9977,2092,559,5220,1177,46991,15643,2029,606,6760,1825,55,445
9427,3239,280,129,1589,797,14739,8861,404,140,2239,866,23,445
500,81,212,48,1290,703,1298,781,379,100,2488,814,18,446
8832,5913,877,431,2870,0,9896,9978,722,376,3039,4,50,446
651,0,225,1,493,595,2894,0,390,0,1418,530,19,446
9116,3263,2853,1189,14829,0,9056,4692,2949,1243,14913,3090,63,446
1628,466,231,81,1392,859,4860,3945,460,105,3252,1134,17,447
98579,6750,3150,1034,3848,79,98722,9189,3119,948,3702,780,63,447
169956,135772,30727,15752,253653,5217,158300,166785,28028,14465,228065,3672,89,447
20716,22049,626,264,773,782,26368,35988,655,217,3730,839,36,448
1119,773,214,37,0,724,2318,4610,393,49,0,873,18,448
10929,7854,730,282,2205,0,13537,13889,703,279,4104,389,41,449
80418,5814,2768,1015,10275,723,85052,8186,2529,997,8326,1219,62,449
126316,34198,2861,1044,7430,1441,140206,44327,2833,1037,8209,1027,60,449
410,569,210,38,862,550,2107,1899,410,71,2691,742,17,450
11377,6714,768,276,3990,616,13444,9765,712,355,4219,1070,44,450
2924,2381,359,154,1703,1678,4168,5499,364,202,2627,2357,31,452
39960,8530,45495,14607,25297,0,42817,11800,44802,14436,24390,747,82,452
10974,11480,516,384,6379,1181,14765,22202,712,367,8431,1036,31,453
5349,6661,487,213,3022,85,6679,13282,578,208,3657,754,32,453
9107,2025,11485,7815,91021,895,12513,4530,11728,7219,86276,1554,75,454
1287,1863,462,281,3031,565,1620,5258,437,270,3025,1441,43,454
4321,4445,376,207,2482,38,6166,10615,451,302,3966,313,29,454
2257,2389,245,112,176,1073,5046,8865,408,133,1569,1468,20,455
8755,5882,608,211,1401,617,11458,10308,576,287,1922,1134,37,458
9848,4515,332,127,1077,454,12593,10265,378,175,1453,1372,30,459
10623,7731,895,304,3674,1208,13450,12968,925,271,5030,1672,39,459
1011,1446,285,120,1335,0,2275,5807,506,178,2656,0,20,459
16532,14083,11565,5004,27918,287,19708,20059,11504,4980,27935,568,84,459
20724,15231,551,348,2782,1016,30741,30140,672,490,2859,1534,31,459
2558,1842,334,202,694,133,5129,5808,396,273,2436,313,28,460
758769,8524,3108,865,4811,2405,794393,12212,3185,838,3570,1798,76,460
27936,8284,3225,1684,45048,0,30969,14446,3342,1742,50559,1300,49,461
26992,10889,642,242,1661,679,28904,15876,636,290,2936,1077,42,461
4140,3749,418,108,0,1792,6215,9613,391,103,0,1751,33,462
21521,21247,442,158,1761,492,33179,41684,620,220,4215,357,27,463
48710,5708,237,93,386,0,112538,17573,417,106,1423,0,19,463
6163,5757,476,177,1044,830,8955,10717,728,229,1714,821,26,464
0,38,193,21,432,0,274,2037,353,74,1033,0,17,464
48569,37813,1336,458,5163,1072,49955,51299,1205,516,5083,1504,57,464
0,0,201,67,0,0,1556,1880,386,110,1054,61,17,464
31781,33297,987,288,2758,901,33351,47068,824,243,4518,1313,60,465
56627,16604,3320,1195,15797,180,66716,21691,2925,1291,15399,1764,64,467
72115,16990,3058,1051,6474,1683,80961,25478,2777,937,5421,1674,63,467
3926,6065,263,80,1269,440,6727,16229,391,126,2609,707,23,467
3011,4278,398,102,670,0,4936,8417,386,142,1028,505,35,467
15331,6040,1145,465,3412,1318,19241,10544,1299,550,3302,823,44,468
111797,17611,3472,1121,7539,481,125811,25334,3452,1011,6711,1226,56,468
12667,7551,386,223,1618,1181,20247,15525,519,294,3212,1252,27,469
13021,13499,6448,3663,29379,0,15303,19161,6485,3508,23703,1077,63,469
6327,5529,462,189,1893,1307,9324,11365,576,279,2469,1839,29,469
5338,2325,220,102,275,176,10444,7140,370,160,2293,284,19,470
0,677,240,69,19,0,0,3641,418,152,455,0,19,471
104,0,223,18,697,125,1082,1765,392,0,1555,321,19,471
6571,3766,3113,1198,1756,0,8961,8806,3392,987,2275,1008,60,472
550474,329629,36686,9783,61983,2017,572079,408803,34089,8977,56697,5218,96,472
800,465,211,0,0,0,2028,2341,380,15,436,338,18,473
5456,3211,361,201,3521,1402,6646,7162,387,233,4092,1215,30,473
32205,3285,594,183,1129,0,41047,7310,688,230,2799,141,32,473
18040,7231,859,279,3381,606,20694,11433,879,297,4618,613,46,474
2408,4965,399,158,1540,1161,4831,9384,379,149,2054,1137,37,474
0,6919,555,55,0,1107,122,9623,407,156,539,1182,52,474
15240,6665,1012,396,11954,323,18376,12242,929,327,10454,1067,53,475
563,70,197,3,240,761,3371,2957,370,13,1217,1508,17,475
769,413,203,32,912,207,1692,3153,360,90,1812,296,18,475
0,0,202,28,323,571,0,1450,395,30,1058,592,17,475
43359,6688,48200,27968,177050,1437,43837,9811,48451,25282,159697,2823,103,475
2515,2954,2116,1384,9704,1138,4208,7340,1992,1435,9222,1870,48,476
35349,15951,1779,655,6765,1436,41508,23623,1711,737,6653,1283,50,476
15632,5736,427,89,2201,681,21652,11163,576,74,4083,838,28,477
799,1575,242,56,403,718,2811,5732,378,65,1102,795,21,478
2727,2894,766,200,0,279,4350,5016,629,239,1346,760,43,479
30057,2361,769,87,522,598,38005,8161,789,69,1004,1405,40,480
104500,24724,2434,852,9853,599,122418,34691,2243,746,10190,547,56,480
134370,118308,3945,1099,6050,694,148197,161823,3755,1141,5604,1530,60,480
39948,6417,32906,13875,110246,3632,39260,11388,32521,13455,102390,7407,94,481
10881,6992,801,258,3498,805,13892,12484,764,253,5303,851,53,481
1018,2598,354,151,0,0,2431,6947,388,215,995,59,29,481
14568,5687,1025,410,3000,1078,20405,9081,1018,367,5223,1151,45,481
100308,21789,3526,1281,8529,1111,104029,29495,3495,1204,9461,1548,61,481
13536,6366,376,114,1981,0,20602,12376,462,83,2203,695,30,482
8802,6192,683,288,4391,491,13979,13129,784,374,5582,940,36,482
106006,39481,15002,8728,176049,6208,114908,51872,14381,8485,159004,7585,72,482
50070,8409,39943,12959,24320,1282,54539,13883,39073,12290,23819,1713,91,482
4803,5475,447,164,3318,17,6695,10615,495,200,4291,378,34,482
14232,55719,699,249,2600,1148,19842,87352,825,200,2652,919,36,483
9575,6849,577,227,3461,1650,11101,12035,516,243,5053,2238,37,483
2677,2279,246,148,332,262,5102,8744,423,195,941,215,20,483
811,2649,254,118,1565,665,2953,7893,377,136,3042,1326,22,483
2051,1156,213,62,211,513,4262,3333,354,102,1979,655,19,483
104,398,194,45,0,507,349,2168,356,88,0,364,17,483
653,148,212,40,0,36,2378,3620,414,15,444,0,17,484
25050,8143,645,222,1778,318,32467,13391,841,251,2528,683,33,485
10139,2017,303,78,1318,642,19814,5275,554,114,2768,780,20,486
808,217,199,89,882,501,2342,2810,365,123,2374,749,17,486
8940,2459,371,92,2070,439,10845,5201,367,115,2517,601,35,486
6912,1952,487,93,333,1197,10537,4577,560,138,2118,1373,32,488
55113,12486,2233,851,6042,2028,55016,17862,2145,735,5887,1847,58,488
1857,2076,324,140,1270,367,3589,6160,558,182,2996,974,21,489
2429,2575,408,182,513,1144,6693,7219,440,216,1580,1232,34,489
3346,2234,263,134,1320,0,6969,8184,450,157,2384,0,21,489
12544,9346,677,284,2172,971,12522,15547,676,329,2799,2179,39,489
37248,13230,1841,652,6164,495,39963,21279,2001,563,7708,1347,48,490
18894,10919,408,128,907,698,23959,17316,422,210,2707,1857,37,490
0,158,209,30,0,0,2183,3513,372,34,378,82,18,490
